,Load[MWh]
836,189.84518518284023
837,197.35282331735263
838,205.75626231225806
839,214.2837706695816
840,222.26446422484858
841,229.1947612939289
842,234.75470018691826
843,238.714147812657
844,240.68110622043017
845,240.41110050009436
846,237.6542900074336
847,232.13271723064088
848,224.0434557325945
849,214.18844952785108
850,203.99246799507057
851,194.66954637183255
852,187.19672824495092
853,181.14267102715473
854,175.7701123850418
855,170.25364616734737
856,163.9599848769675
857,156.9802466698812
858,149.5635400273002
859,141.7299832558158
860,133.86107256472604
861,125.87688824020134
862,117.99416845453946
863,110.17004226780628
864,102.62941845643903
865,95.5570471548553
866,89.46781227323727
867,84.5336435126831
868,81.07288466014268
869,78.78701909450392
870,77.29668329787091
871,76.03960413139241
872,74.70908878185006
873,73.31542335473638
874,72.1792789785875
875,71.23045859687326
876,70.68980886429405
877,70.61247144983805
878,70.59549357731466
879,70.81030737381695
880,70.98927916835109
881,71.46172046762135
882,72.29261172660071
883,73.73684801886199
884,75.8692687780727
885,79.57101626252174
886,85.54217675540613
887,94.53995716622812
888,107.01044896446375
889,121.58280782785502
890,136.57289362072612
891,150.19589603195624
892,162.26171944228054
893,172.4901943509894
894,181.39384563491336
895,189.53410671388286
896,197.28446409133815
897,204.14911624629045
898,209.27523542337755
899,212.10141913882254
900,210.59331607312836
901,208.6686162204601
902,205.70877668524057
903,203.15804208231248
904,201.7384444241282
905,201.3326796208145
906,201.68578009688684
907,202.56321125243173
908,203.63677611893112
909,204.84920606495322
910,206.39771295833123
911,208.38843467175928
912,210.73938598104002
913,212.80637099319125
914,213.65399710226794
915,212.68458358753958
916,209.2943708493951
917,204.11494455584133
918,198.08108594112622
919,192.18676144520128
920,187.14936438197842
921,183.17269841693837
922,180.20287067704956
923,178.02454539520184
924,176.7280850778016
925,176.13635617094684
926,175.8432224612569
927,175.90811970725315
928,176.07479308640737
929,178.30634236075153
930,180.1908690737733
931,184.00605975153047
932,189.9187351694469
933,197.43125779649762
934,205.84033686317684
935,214.37399694435484
936,222.3610980495167
937,229.2976063368795
938,234.86325074551348
939,238.82758286379044
940,240.79821802721358
941,240.53043144904197
942,237.7740671645912
943,232.250905886571
944,224.1580330767454
945,214.2979549720156
946,204.0963928618892
947,194.76820598177392
948,187.29113995273346
949,181.23359636145685
950,175.85786666633194
951,170.33810148260523
952,164.0406384982766
953,157.0566494143102
954,149.6353795491021
955,141.79700372895027
956,133.92321152004368
957,125.93408023383131
958,118.04647893035258
959,110.21753369495194
960,106.64852624383376
961,104.80640119939221
962,103.36314784964182
963,101.55658348490158
964,98.30467900752757
965,94.07737802088474
966,89.51747034146908
967,85.15283984183596
968,81.61293070616536
969,78.97138950959935
970,77.08356443225613
971,75.76373766925235
972,75.02621095568028
973,74.67933662627468
974,74.39745996523367
975,74.00358305899593
976,73.41803610397558
977,72.80059400330944
978,72.5105422149484
979,72.99237872105483
980,74.38991378172662
981,76.57123409981406
982,79.3606438357613
983,82.54454842418689
984,86.07208831821531
985,90.27884642331139
986,95.65488075635173
987,102.4888290295112
988,111.29164958916405
989,121.90694734196519
990,134.05331231859145
991,147.39090199996264
992,161.59512496069306
993,175.65597250356885
994,188.34709859315532
995,198.46440215483238
996,203.77738895145683
997,207.85562465154823
998,210.22581653009604
999,211.8971196410562
1000,213.67072974600026
1001,215.6708081120478
1002,217.68811898511584
1003,219.6507986922547
1004,221.47926179929908
1005,223.21775134678597
1006,225.1911756351797
1007,227.5136059694415
1008,230.09264502541126
1009,232.58690744430695
1010,234.0360710275274
1011,233.98479156181455
1012,231.7663621046629
1013,227.73630820951388
1014,222.1989919115408
1015,215.64452451229172
1016,208.55140442832044
1017,201.43489125629566
1018,194.66661384241797
1019,188.80889075045064
1020,184.19126488385135
1021,180.69975706138055
1022,178.14187273460766
1023,176.36272422806437
1024,175.2484658557339
1025,177.13083573453488
1026,180.2015069399555
1027,186.95475994202366
1028,197.87060833870825
1029,211.306838228414
1030,224.8717582472713
1031,236.1260595267693
1032,243.48758537255566
1033,247.4712507560147
1034,249.52913049463473
1035,250.82896534759814
1036,252.31302591141383
1037,252.68387411310175
1038,250.52484151011694
1039,244.1104089868206
1040,232.62120832404713
1041,217.87173136735555
1042,202.25785557727883
1043,188.39846879791077
1044,178.10513357508805
1045,170.97120274599413
1046,166.22824464064445
1047,162.96128282560082
1048,160.2831545009602
1049,157.67853416826387
1050,154.58260339743836
1051,150.63871317753646
1052,145.43165533230342
1053,139.14170049790937
1054,132.3745832548191
1055,125.57732533123139
1056,119.02410540365116
1057,112.72797308543653
1058,106.79459813969368
1059,101.20130614180727
1060,95.86986415926559
1061,91.00420030861072
1062,86.54395560475375
1063,82.68444318567359
1064,79.51850218498652
1065,76.88387543513275
1066,74.73429900162317
1067,73.19312711627869
1068,71.99469597019741
1069,71.05984325406678
1070,70.25739927421027
1071,69.43458458193147
1072,68.39359312584928
1073,67.51337831428691
1074,67.10531477094175
1075,67.35814781575716
1076,68.61690285913369
1077,70.3856902503011
1078,72.31147909742187
1079,73.89224688456935
1080,74.89931140927504
1081,75.43683144362939
1082,75.95548042447865
1083,76.7872944830101
1084,78.5147063252395
1085,81.41241524511905
1086,86.18497798922115
1087,93.3778840048098
1088,103.15194953788246
1089,115.05600120396981
1090,128.04154997324437
1091,141.14182402438175
1092,152.21926078302383
1093,163.92849117554346
1094,174.6867992148592
1095,184.26857081269574
1096,192.72083622579154
1097,200.35243622814042
1098,207.48774114943026
1099,214.70235496140552
1100,222.07718192316352
1101,229.1027590190125
1102,234.94176720064704
1103,238.90695214678377
1104,240.26382363503373
1105,239.03766630266117
1106,235.2369683693824
1107,228.9324686877557
1108,220.45755106047204
1109,210.3578175825877
1110,199.5669538221791
1111,189.0114273605449
1112,179.2803153009754
1113,170.63348454118847
1114,163.19227926023368
1115,157.0119891906272
1116,152.20240305790878
1117,148.22725260427885
1118,144.96850096450396
1119,141.75875078342247
1120,138.66173328248195
1121,137.8379878041557
1122,137.38978959201097
1123,140.03327324891967
1124,146.23548442530063
1125,155.1284995781838
1126,165.22151138944656
1127,175.169167663151
1128,183.79018812992302
1129,191.28156503017945
1130,198.18227925754002
1131,204.84087036165258
1132,211.48359514305673
1133,217.02702507534647
1134,220.01368129512076
1135,218.76828212637136
1136,212.67797423200966
1137,203.16778270100627
1138,192.59510160942634
1139,182.9592641245465
1140,176.05908180846308
1141,171.20768364379654
1142,167.25539270874316
1143,163.03372628766246
1144,157.7235049293141
1145,151.23305426239
1146,143.89991211568662
1147,135.93401933510927
1148,127.71583215555094
1149,119.55148126377514
1150,111.70288157054061
1151,104.41603880544123
1152,102.72162589566445
1153,95.63997941275657
1154,89.54270088447385
1155,84.60171108775026
1156,81.1359041329946
1157,78.84649269944744
1158,77.35383662012268
1159,76.09525521933733
1160,74.76378795894712
1161,73.3694413206329
1162,72.23302029539387
1163,71.28379237684788
1164,70.74273213271552
1165,70.66512401861213
1166,70.64773563453558
1167,70.86254943103788
1168,71.0416610374778
1169,71.51464373604281
1170,72.34621918094409
1171,73.79141035877467
1172,75.92505670320203
1173,79.62980865626474
1174,85.60724283658102
1175,94.61606838795996
1176,107.10320375242671
1177,121.69575204995752
1178,136.70656867626292
1179,150.347984612957
1180,162.4275869328045
1181,172.6654738600219
1182,181.5748544573616
1183,189.71798019303893
1184,197.4691556188792
1185,204.33298972544654
1186,209.45678861984192
1187,212.2797001417473
1188,210.76750385940719
1189,208.83857692763
1190,205.87450733858012
1191,203.320363704928
1192,201.89844873877334
1193,201.49118170115287
1194,201.84360096602472
1195,202.7210321215696
1196,203.79514136208513
1197,205.00879986804526
1198,206.55962406939355
1199,208.55416532509884
1200,210.91043543624215
1201,212.9831527365306
1202,213.8354134615479
1203,212.86845706669567
1204,209.4774262801663
1205,204.29459095588854
1206,198.25568423895817
1207,192.35590410398623
1208,187.31332210136378
1209,183.33201854566164
1210,180.3579637266639
1211,178.17554522817025
1212,176.87526536849285
1213,176.2802642680985
1214,175.98439976416358
1215,176.04779775057443
1216,176.21419745535985
1217,178.44710915210504
1218,180.33491103338787
1219,184.1559678617452
1220,190.07696357541647
1221,197.5999899437294
1222,206.02120884844066
1223,214.56810049040442
1224,222.5689775303681
1225,229.51885421570103
1226,235.09677529955138
1227,239.07160818436918
1228,241.05015908143682
1229,240.7871439563902
1230,238.03173455750877
1231,232.50516424876457
1232,224.40451551720028
1233,214.53352315965503
1234,204.3199580486811
1235,194.98045235364
1236,187.49424500573843
1237,181.42919916709187
1238,176.04665141051885
1239,170.51979449097539
1240,164.21414507335487
1241,157.2210176452487
1242,149.78992524997892
1243,141.94118252574927
1244,134.05688657558042
1245,126.05711768564288
1246,118.1590126409019
1247,110.31970050142344
1248,102.74054214904493
1249,95.65699184444124
1250,89.55805937106032
1251,84.61567145527887
1252,81.14882929747611
1253,78.85869203190747
1254,77.36555999715877
1255,76.10667220006924
1256,74.77500860806666
1257,73.38052215784666
1258,72.24404461290102
1259,71.29473340215583
1260,70.7535898658243
1261,70.6759252320143
1262,70.65845355573857
1263,70.87326735224086
1264,71.05240275645198
1265,71.52550146915158
1266,72.35721672595865
1267,73.8026012606802
1268,75.93650045642654
1269,79.64186817681897
1270,85.62058743677991
1271,94.6316827005868
1272,107.12223007049894
1273,121.71891918021812
1274,136.73398965812504
1275,150.37918349099667
1276,162.46161179617386
1277,172.70142931757965
1278,181.61198195515084
1279,189.75569668566536
1280,197.5070386959039
1281,204.3707062180729
1282,209.49403213176575
1283,212.31626839191338
1284,210.80323323813855
1285,208.87344066243406
1286,205.9085024547355
1287,203.3536597615545
1288,201.93126883997584
1289,201.5236924313298
1290,201.8759718842959
1291,202.7534030398408
1292,203.8276282944908
1293,205.0415366770486
1294,206.59283683382085
1295,208.58816044125422
1296,210.9455222751512
1297,213.01941459039256
1298,213.87262722625766
1299,212.90617355932207
1300,209.51497321367282
1301,204.3314388298662
1302,198.29149690988876
1303,192.39059827967057
1304,187.34695430150845
1305,183.36469883495838
1306,180.38977539731192
1307,178.20651802738354
1308,176.90545581597806
1309,176.30978242854735
1310,176.01335867698933
1311,176.07644729237458
1312,176.24279345217488
1313,178.47598477273164
1314,180.36445894105074
1315,184.18671755685358
1316,190.1094207606083
1317,197.63460082721457
1318,206.0583125484587
1319,214.6079171363389
1320,222.6116171869109
1321,229.56423656537427
1322,235.1446772382502
1323,239.12166382136135
1324,241.1018359415918
1325,240.83980247460713
1326,238.08458643261662
1327,232.55731706434355
1328,224.45507388210896
1329,214.58184453407122
1330,204.36581635377834
1331,195.02399037604553
1332,187.53590597894075
1333,181.4693222093305
1334,176.08537335897836
1335,170.5570618006704
1336,164.24973464018052
1337,157.2547331375925
1338,149.82162685593516
1339,141.97075720590476
1340,134.08430755744251
1341,126.0823552219976
