,osm_id,highway,length,geometry
17721,34590570,cycleway,42.2636025449797,"SRID=3857;LINESTRING(917574.33 7014363.93,917535.48 7014347.29)"
4415,183703346,cycleway,76.7904052184154,"SRID=3857;LINESTRING(914519.93 7005322.1,914531.09 7005307.65,914565.01 7005290.4,914585.18 7005293.94)"
7605,22619397,cycleway,157.691213904339,"SRID=3857;LINESTRING(910621.42 7008397.78,910642.48 7008396.84,910657.95 7008387.28,910675.22 7008376.69,910708.52 7008351.26,910752.6 7008316.29)"
7603,27764978,cycleway,34.401118598801,"SRID=3857;LINESTRING(910657.95 7008387.28,910649.23 7008405.41,910652.76 7008419.25)"
6402,43293004,cycleway,6.44512218627347,"SRID=3857;LINESTRING(914987 7006373.7,914981.5 7006377.06)"
698,31276219,cycleway,53.4157993008666,"SRID=3857;LINESTRING(908365.34 7007861.3,908326.88 7007841.1,908322.82 7007831.99)"
10356,28527147,cycleway,19.3618697449538,"SRID=3857;LINESTRING(914706.11 7009017.14,914721.03 7009004.8)"
6403,24647273,cycleway,130.34885684441,"SRID=3857;LINESTRING(915105.68 7006325.97,915073.31 7006336.84,915040.19 7006355.13,915037.21 7006358.66,915027.65 7006366.15,915016.9 7006369.92,914997.2 7006371.4,914987 7006373.7)"
11863,183885658,cycleway,28.0185810040345,"SRID=3857;LINESTRING(911555.28 7011348.65,911554.79 7011357.76,911551.97 7011363.41,911554.92 7011375.64)"
11862,183885659,cycleway,18.9453160441608,"SRID=3857;LINESTRING(911582.21 7011350.8,911591.1 7011367.53)"
2839,22991386,cycleway,79.7225250470621,"SRID=3857;LINESTRING(913665.52 7002861.05,913739.73 7002831.92)"
5017,91782626,cycleway,78.45876659865,"SRID=3857;LINESTRING(915673.3 7001306.78,915698.67 7001254.22,915708.69 7001236.8)"
7579,27083675,cycleway,30.3608712000606,"SRID=3857;LINESTRING(910197.36 7008789.61,910227.03 7008796.05)"
